"Id","Experiment","Sex","Drug","Genotype","Trial","Outcome"
22,1,"F","SKF","KI",1,0.018
22,1,"F","SKF","KI",2,0.015
22,1,"F","SKF","KI",3,0.019
22,1,"F","SKF","KI",4,0.016
22,2,"F","SKF","KI",1,0.016
22,2,"F","SKF","KI",2,0.018
22,2,"F","SKF","KI",3,0.017
22,2,"F","SKF","KI",4,0.017
23,1,"F","Saline","KI",1,0.013
23,1,"F","Saline","KI",2,0.012
23,1,"F","Saline","KI",3,0.009
23,1,"F","Saline","KI",4,0.012
23,2,"F","Saline","KI",1,0.012
23,2,"F","Saline","KI",2,0.012
23,2,"F","Saline","KI",3,0.011
23,2,"F","Saline","KI",4,0.01
23,1,"F","SKF","KI",1,0.012
23,1,"F","SKF","KI",2,0.012
23,1,"F","SKF","KI",3,0.01
23,1,"F","SKF","KI",4,0.009
23,2,"F","SKF","KI",1,0.012
23,2,"F","SKF","KI",2,0.011
23,2,"F","SKF","KI",3,0.009
23,2,"F","SKF","KI",4,0.009
24,1,"F","Saline","KI",1,0.017
24,1,"F","Saline","KI",2,0.016
24,1,"F","Saline","KI",3,0.015
24,1,"F","Saline","KI",4,0.016
24,2,"F","Saline","KI",1,0.015
24,2,"F","Saline","KI",2,0.016
24,2,"F","Saline","KI",3,0.015
24,2,"F","Saline","KI",4,0.018
24,1,"F","SKF","KI",1,0.017
24,1,"F","SKF","KI",2,0.017
24,1,"F","SKF","KI",3,0.017
24,1,"F","SKF","KI",4,0.016
24,2,"F","SKF","KI",1,0.016
24,2,"F","SKF","KI",2,0.017
24,2,"F","SKF","KI",3,0.016
24,2,"F","SKF","KI",4,0.015
101,1,"M","Saline","KI",1,0.251
101,1,"M","Saline","KI",2,0.16
101,1,"M","Saline","KI",3,0.216
101,1,"M","Saline","KI",4,0.149
102,1,"M","Saline","KI",1,0.102
102,1,"M","Saline","KI",2,0.152
102,1,"M","Saline","KI",3,0.119
102,1,"M","Saline","KI",4,0.15
103,1,"M","Saline","KI",1,0.167
103,1,"M","Saline","KI",2,0.122
103,1,"M","Saline","KI",3,0.192
103,1,"M","Saline","KI",4,0.091
104,1,"M","Saline","KI",1,0.114
104,1,"M","Saline","KI",2,0.162
104,1,"M","Saline","KI",3,0.151
104,1,"M","Saline","KI",4,0.098
105,1,"M","Saline","KI",1,0.199
105,1,"M","Saline","KI",2,0.202
105,1,"M","Saline","KI",3,0.224
105,1,"M","Saline","KI",4,0.18
106,1,"M","Saline","KI",1,0.16
106,1,"M","Saline","KI",2,0.091
106,1,"M","Saline","KI",3,0.108
106,1,"M","Saline","KI",4,0.113
107,1,"M","Saline","KI",1,0.084
107,1,"M","Saline","KI",2,0.078
107,1,"M","Saline","KI",3,0.044
107,1,"M","Saline","KI",4,0.069
101,2,"M","Saline","KI",1,0.211
101,2,"M","Saline","KI",2,0.197
101,2,"M","Saline","KI",3,0.175
101,2,"M","Saline","KI",4,0.151
102,2,"M","Saline","KI",1,0.145
102,2,"M","Saline","KI",2,0.127
102,2,"M","Saline","KI",3,0.136
102,2,"M","Saline","KI",4,0.139
103,2,"M","Saline","KI",1,0.214
103,2,"M","Saline","KI",2,0.177
103,2,"M","Saline","KI",3,0.17
103,2,"M","Saline","KI",4,0.144
104,2,"M","Saline","KI",1,0.173
104,2,"M","Saline","KI",2,0.139
104,2,"M","Saline","KI",3,0.129
104,2,"M","Saline","KI",4,0.122
105,2,"M","Saline","KI",1,0.216
105,2,"M","Saline","KI",2,0.222
105,2,"M","Saline","KI",3,0.193
105,2,"M","Saline","KI",4,0.218
106,2,"M","Saline","KI",1,0.133
106,2,"M","Saline","KI",2,0.141
106,2,"M","Saline","KI",3,0.112
106,2,"M","Saline","KI",4,0.102
107,2,"M","Saline","KI",1,0.119
107,2,"M","Saline","KI",2,0.08
107,2,"M","Saline","KI",3,0.089
107,2,"M","Saline","KI",4,0.079
101,3,"M","Saline","KI",1,0.224
101,3,"M","Saline","KI",2,0.173
101,3,"M","Saline","KI",3,0.135
101,3,"M","Saline","KI",4,0.128
102,3,"M","Saline","KI",1,0.153
102,3,"M","Saline","KI",2,0.128
