"Id","Drug","Genotype","Sex","Experiment","Trial","Outcome"
13,"Saline","WT","F",2,4,44.4
13,"SKF","WT","F",1,1,8.9
13,"SKF","WT","F",1,2,17.4
13,"SKF","WT","F",1,3,34.8
13,"SKF","WT","F",1,4,15.5
13,"SKF","WT","F",2,1,36
13,"SKF","WT","F",2,2,29.7
13,"SKF","WT","F",2,3,3.1
13,"SKF","WT","F",2,4,12.2
14,"Saline","WT","F",1,1,18.1
14,"Saline","WT","F",1,2,14.5
14,"Saline","WT","F",1,3,7
14,"Saline","WT","F",1,4,9.9
14,"Saline","WT","F",2,1,60
14,"Saline","WT","F",2,2,36.1
14,"Saline","WT","F",2,3,13.6
14,"Saline","WT","F",2,4,18.2
14,"SKF","WT","F",1,1,51.3
14,"SKF","WT","F",1,2,60
14,"SKF","WT","F",1,3,6.3
14,"SKF","WT","F",1,4,60
14,"SKF","WT","F",2,1,5.4
14,"SKF","WT","F",2,2,16.6
14,"SKF","WT","F",2,3,42.9
14,"SKF","WT","F",2,4,3.3
15,"Saline","WT","F",1,1,4.3
15,"Saline","WT","F",1,2,21.3
15,"Saline","WT","F",1,3,7
15,"Saline","WT","F",1,4,13.9
15,"Saline","WT","F",2,1,60
15,"Saline","WT","F",2,2,5.6
15,"Saline","WT","F",2,3,14.5
15,"Saline","WT","F",2,4,9.1
15,"SKF","WT","F",1,1,60
15,"SKF","WT","F",1,2,38.5
15,"SKF","WT","F",1,3,31.7
15,"SKF","WT","F",1,4,35.9
15,"SKF","WT","F",2,1,33.4
15,"SKF","WT","F",2,2,35.3
15,"SKF","WT","F",2,3,15.2
15,"SKF","WT","F",2,4,6.5
16,"Saline","WT","F",1,1,40.1
16,"Saline","WT","F",1,2,51.5
16,"Saline","WT","F",1,3,22.2
16,"Saline","WT","F",1,4,24.6
16,"Saline","WT","F",2,1,60
16,"Saline","WT","F",2,2,45.4
16,"Saline","WT","F",2,3,14.4
16,"Saline","WT","F",2,4,24.5
16,"SKF","WT","F",1,1,30.3
16,"SKF","WT","F",1,2,7.8
16,"SKF","WT","F",1,3,4.6
16,"SKF","WT","F",1,4,4.8
16,"SKF","WT","F",2,1,7.1
16,"SKF","WT","F",2,2,22.4
16,"SKF","WT","F",2,3,8.5
16,"SKF","WT","F",2,4,7.8
17,"Saline","WT","F",1,1,60
17,"Saline","WT","F",1,2,58.3
17,"Saline","WT","F",1,3,15.7
17,"Saline","WT","F",1,4,11.9
17,"Saline","WT","F",2,1,27.2
17,"Saline","WT","F",2,2,60
17,"Saline","WT","F",2,3,60
17,"Saline","WT","F",2,4,60
17,"SKF","WT","F",1,1,60
17,"SKF","WT","F",1,2,36
17,"SKF","WT","F",1,3,15.6
17,"SKF","WT","F",1,4,10.5
17,"SKF","WT","F",2,1,60
17,"SKF","WT","F",2,2,51
17,"SKF","WT","F",2,3,32
17,"SKF","WT","F",2,4,6.2
18,"Saline","KI","F",1,1,26.6
18,"Saline","KI","F",1,2,19.3
18,"Saline","KI","F",1,3,16.2
18,"Saline","KI","F",1,4,48.6
18,"Saline","KI","F",2,1,45.1
18,"Saline","KI","F",2,2,60
18,"Saline","KI","F",2,3,60
18,"Saline","KI","F",2,4,60
18,"SKF","KI","F",1,1,60
18,"SKF","KI","F",1,2,60
18,"SKF","KI","F",1,3,60
18,"SKF","KI","F",1,4,60
18,"SKF","KI","F",2,1,60
18,"SKF","KI","F",2,2,60
18,"SKF","KI","F",2,3,60
18,"SKF","KI","F",2,4,60
19,"Saline","KI","F",1,1,60
